OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_2,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,,
OTU_3,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],DA101,
OTU_4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,,
OTU_5,Archaea,Crenarchaeota,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,SCA1170
OTU_6,Archaea,Crenarchaeota,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,SCA1145
OTU_7,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,flexus
OTU_9,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
OTU_10,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Kaistobacter,
OTU_11,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,,
OTU_12,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,
OTU_13,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,
OTU_14,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,
OTU_15,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,Steroidobacter,
OTU_16,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,,
OTU_17,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,
OTU_18,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,
OTU_19,Bacteria,Chloroflexi,Ellin6529,,,,
OTU_20,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,,
OTU_21,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,
OTU_22,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,,,
OTU_23,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,,
OTU_24,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,
OTU_25,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Pseudonocardia,
OTU_26,Bacteria,Proteobacteria,Betaproteobacteria,,,,
OTU_27,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Balneimonas,
OTU_28,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
OTU_29,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,,
OTU_30,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,
OTU_31,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,,
OTU_32,Bacteria,Actinobacteria,MB-A2-108,0319-7L14,,,
OTU_33,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
OTU_34,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,,
OTU_35,Archaea,Crenarchaeota,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,SCA1170
OTU_36,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU_37,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,
OTU_38,Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Phormidiaceae,Phormidium,
OTU_39,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
OTU_40,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
OTU_41,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,
OTU_42,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,,
OTU_43,Archaea,Crenarchaeota,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,gargensis
OTU_44,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,,
OTU_45,Bacteria,Chloroflexi,Gitt-GS-136,,,,
OTU_46,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
OTU_47,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
OTU_48,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,
OTU_49,Bacteria,Proteobacteria,Betaproteobacteria,MND1,,,
OTU_50,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Kaistobacter,
OTU_51,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,
OTU_52,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Kaistobacter,
OTU_53,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
OTU_54,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,,
OTU_55,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Terracoccus,
OTU_56,Bacteria,Proteobacteria,Betaproteobacteria,Ellin6067,,,
OTU_57,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,
OTU_58,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
OTU_59,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
OTU_60,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,0319-6A21,,
OTU_61,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,Flavisolibacter,
OTU_62,Bacteria,Gemmatimonadetes,Gemm-1,,,,
OTU_63,Bacteria,Gemmatimonadetes,Gemmatimonadetes,N1423WL,,,
OTU_64,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
OTU_65,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU_66,Archaea,Crenarchaeota,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,
OTU_67,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
OTU_68,Bacteria,Acidobacteria,iii1-8,32-20,,,
OTU_69,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,
OTU_70,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,,,
OTU_71,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU_72,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],DA101,
OTU_73,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Saprospiraceae,,
OTU_74,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,
OTU_75,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
OTU_76,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU_77,Archaea,Crenarchaeota,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,
OTU_78,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,,,
OTU_79,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,,,
OTU_80,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU_81,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,,
OTU_82,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,
OTU_83,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
OTU_84,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,
OTU_85,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,,
OTU_86,Bacteria,Actinobacteria,MB-A2-108,0319-7L14,,,
OTU_87,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,
OTU_88,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
OTU_89,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,,,
OTU_90,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
OTU_91,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,,
OTU_92,Bacteria,Proteobacteria,Betaproteobacteria,,,,
OTU_93,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,
OTU_94,Bacteria,Acidobacteria,iii1-8,DS-18,,,
OTU_95,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,
