Sample_ID,Year,Site,Rep,Treatment,Type,SampleDate,SamplePeriod,NO3,NH4,PMN
BLM15-101-D03,2015,BLM,1,M-SPW,mix,3,AOne week,14.67,9.48,69.265
BLM15-101-D07,2015,BLM,1,M-SPW,mix,7,AOne week,31.82,7.885,67.025
BLM15-101-D34,2015,BLM,1,M-SPW,mix,34,Four weeks,13.03,4.615,68.325
BLM15-102-D03,2015,BLM,1,M-FAB,mix,3,AOne week,23.11,7.75,75.755
BLM15-102-D07,2015,BLM,1,M-FAB,mix,7,AOne week,25.915,7.095,58.21
BLM15-102-D34,2015,BLM,1,M-FAB,mix,34,Four weeks,15.32,5.105,70.93
BLM15-103-D03,2015,BLM,1,WD,weed,3,AOne week,24.22,6.585,50.95
BLM15-103-D07,2015,BLM,1,WD,weed,7,AOne week,35.59,7.385,68.415
BLM15-103-D34,2015,BLM,1,WD,weed,34,Four weeks,16.29,4.42,73.995
BLM15-104-D03,2015,BLM,1,MUS,brassica,3,AOne week,28.88,9.33,70.315
BLM15-104-D07,2015,BLM,1,MUS,brassica,7,AOne week,17.995,6.09,62.33
BLM15-104-D34,2015,BLM,1,MUS,brassica,34,Four weeks,16.33,6.39,79.155
BLM15-105-D03,2015,BLM,1,FAB,legume,3,AOne week,36.685,8.225,39.875
BLM15-105-D07,2015,BLM,1,FAB,legume,7,AOne week,35.285,8.055,71.75
BLM15-105-D34,2015,BLM,1,FAB,legume,34,Four weeks,12.7,5.01,66.44
BLM15-106-D03,2015,BLM,1,SPW,grass,3,AOne week,22.11,6.81,67.62
BLM15-106-D07,2015,BLM,1,SPW,grass,7,AOne week,27.545,7.975,99.525
BLM15-106-D34,2015,BLM,1,SPW,grass,34,Four weeks,11.415,4.735,73.44
BLM15-107-D03,2015,BLM,1,M-PTT,mix,3,AOne week,26.045,5.505,47.38
BLM15-107-D07,2015,BLM,1,M-PTT,mix,7,AOne week,29.645,8.475,78.85
BLM15-107-D34,2015,BLM,1,M-PTT,mix,34,Four weeks,12.54,5.885,81.33
BLM15-109-D03,2015,BLM,1,PEA,legume,3,AOne week,26.63,5.465,56.77
BLM15-109-D07,2015,BLM,1,PEA,legume,7,AOne week,31.7,7.045,106.615
BLM15-109-D34,2015,BLM,1,PEA,legume,34,Four weeks,15.785,5.505,77.275
BLM15-110-D03,2015,BLM,1,PTT,brassica,3,AOne week,23.825,8.275,95.95
BLM15-110-D07,2015,BLM,1,PTT,brassica,7,AOne week,22.605,10.895,79.205
BLM15-110-D34,2015,BLM,1,PTT,brassica,34,Four weeks,10.89,5.35,71.055
BLM15-111-D03,2015,BLM,1,M-MUS,mix,3,AOne week,21.955,7.21,73.975
BLM15-111-D07,2015,BLM,1,M-MUS,mix,7,AOne week,31.025,10.56,89.925
BLM15-111-D34,2015,BLM,1,M-MUS,mix,34,Four weeks,10.715,6.24,82.185
BLM15-112-D03,2015,BLM,1,M-OAT,mix,3,AOne week,27.55,9.645,94.48
BLM15-112-D07,2015,BLM,1,M-OAT,mix,7,AOne week,33.685,8.945,87.095
BLM15-112-D34,2015,BLM,1,M-OAT,mix,34,Four weeks,15.19,6.97,85.375
BLM15-113-D03,2015,BLM,1,OAT,grass,3,AOne week,25.79,9.575,79.51
BLM15-113-D07,2015,BLM,1,OAT,grass,7,AOne week,25.66,7.975,76.785
BLM15-113-D34,2015,BLM,1,OAT,grass,34,Four weeks,11.06,6.42,82.54
BLM15-114-D03,2015,BLM,1,M-PEA,mix,3,AOne week,28.61,7.985,92.77
BLM15-114-D07,2015,BLM,1,M-PEA,mix,7,AOne week,28.3,7.11,86.92
BLM15-114-D34,2015,BLM,1,M-PEA,mix,34,Four weeks,14.485,7.595,94.7
BLM15-201-D03,2015,BLM,2,FAB,legume,3,AOne week,16.48,5.085,55.305
BLM15-201-D07,2015,BLM,2,FAB,legume,7,AOne week,25.865,6.55,83.94
BLM15-201-D34,2015,BLM,2,FAB,legume,34,Four weeks,12.905,4.695,76.275
BLM15-203-D03,2015,BLM,2,OAT,grass,3,AOne week,25.7,4.85,65.25
BLM15-203-D07,2015,BLM,2,OAT,grass,7,AOne week,21.205,7.775,98.295
BLM15-203-D34,2015,BLM,2,OAT,grass,34,Four weeks,12.43,5.855,91.43
BLM15-204-D03,2015,BLM,2,M-FAB,mix,3,AOne week,22.285,4.295,72.185
BLM15-204-D07,2015,BLM,2,M-FAB,mix,7,AOne week,26.71,6.77,86.16
BLM15-204-D34,2015,BLM,2,M-FAB,mix,34,Four weeks,14.275,4.87,75.91
BLM15-205-D03,2015,BLM,2,PEA,legume,3,AOne week,29.115,7.045,78.205
BLM15-205-D07,2015,BLM,2,PEA,legume,7,AOne week,32.57,6.69,69.51
BLM15-205-D34,2015,BLM,2,PEA,legume,34,Four weeks,10.28,7.135,76.935
BLM15-206-D03,2015,BLM,2,SPW,grass,3,AOne week,27.89,6.13,82.5
BLM15-206-D07,2015,BLM,2,SPW,grass,7,AOne week,17.955,6.32,80.175
BLM15-206-D34,2015,BLM,2,SPW,grass,34,Four weeks,14.705,7.005,79.66
BLM15-207-D03,2015,BLM,2,PTT,brassica,3,AOne week,25.58,4.545,68.355
BLM15-207-D07,2015,BLM,2,PTT,brassica,7,AOne week,16.76,6.165,73.945
BLM15-207-D34,2015,BLM,2,PTT,brassica,34,Four weeks,16.41,7.58,88.87
BLM15-208-D03,2015,BLM,2,M-PEA,mix,3,AOne week,28.14,6.945,74.67
BLM15-208-D07,2015,BLM,2,M-PEA,mix,7,AOne week,29.325,6.505,62.295
BLM15-208-D34,2015,BLM,2,M-PEA,mix,34,Four weeks,16.24,7.41,79.31
BLM15-209-D03,2015,BLM,2,M-PTT,mix,3,AOne week,25.465,7.28,70.845
BLM15-209-D07,2015,BLM,2,M-PTT,mix,7,AOne week,23.835,6.96,86.945
BLM15-209-D34,2015,BLM,2,M-PTT,mix,34,Four weeks,11.775,5.75,80.77
BLM15-210-D03,2015,BLM,2,WD,weed,3,AOne week,33.09,8.975,70.09
