Sample_ID,Y2015,Y2016,BLM,ROCK,NO_SPECIES,DAYS,NO3,NH4,PMN,FAB,MUS,OAT,PEA,PTT,SPW,WEEDS,TOT_MASS,Biomass
BLM15-101-D03,1,0,1,0,5,3,14.67,9.48,69.265,10.23049472,143.3284185,93.11746662,25.41898168,1.74441256,0,36.91987569,310.7596498,Yes
BLM15-101-D07,1,0,1,0,5,7,31.82,7.885,67.025,10.23049472,143.3284185,93.11746662,25.41898168,1.74441256,0,36.91987569,310.7596498,Yes
BLM15-101-D34,1,0,1,0,5,34,13.03,4.615,68.325,10.23049472,143.3284185,93.11746662,25.41898168,1.74441256,0,36.91987569,310.7596498,Yes
BLM15-102-D03,1,0,1,0,5,3,23.11,7.75,75.755,0,93.7856372,117.2226593,13.3879832,5.528587954,62.93744626,44.96207381,337.8243878,Yes
BLM15-102-D07,1,0,1,0,5,7,25.915,7.095,58.21,0,93.7856372,117.2226593,13.3879832,5.528587954,62.93744626,44.96207381,337.8243878,Yes
BLM15-102-D34,1,0,1,0,5,34,15.32,5.105,70.93,0,93.7856372,117.2226593,13.3879832,5.528587954,62.93744626,44.96207381,337.8243878,Yes
BLM15-103-D03,1,0,1,0,1,3,24.22,6.585,50.95,0,0,0,0,0,0,463.960596,463.960596,Yes
BLM15-103-D07,1,0,1,0,1,7,35.59,7.385,68.415,0,0,0,0,0,0,463.960596,463.960596,Yes
BLM15-103-D34,1,0,1,0,1,34,16.29,4.42,73.995,0,0,0,0,0,0,463.960596,463.960596,Yes
BLM15-104-D03,1,0,1,0,1,3,28.88,9.33,70.315,0,298.2412591,0,0,0,0,11.1848417,309.4261008,Yes
BLM15-104-D07,1,0,1,0,1,7,17.995,6.09,62.33,0,298.2412591,0,0,0,0,11.1848417,309.4261008,Yes
BLM15-104-D34,1,0,1,0,1,34,16.33,6.39,79.155,0,298.2412591,0,0,0,0,11.1848417,309.4261008,Yes
BLM15-105-D03,1,0,1,0,1,3,36.685,8.225,39.875,88.90236891,0,0,0,0,0,300.7658372,389.6682061,Yes
BLM15-105-D07,1,0,1,0,1,7,35.285,8.055,71.75,88.90236891,0,0,0,0,0,300.7658372,389.6682061,Yes
BLM15-105-D34,1,0,1,0,1,34,12.7,5.01,66.44,88.90236891,0,0,0,0,0,300.7658372,389.6682061,Yes
BLM15-106-D03,1,0,1,0,1,3,22.11,6.81,67.62,0,0,0,0,0,291.0922395,67.78954387,358.8817833,Yes
BLM15-106-D07,1,0,1,0,1,7,27.545,7.975,99.525,0,0,0,0,0,291.0922395,67.78954387,358.8817833,Yes
BLM15-106-D34,1,0,1,0,1,34,11.415,4.735,73.44,0,0,0,0,0,291.0922395,67.78954387,358.8817833,Yes
BLM15-107-D03,1,0,1,0,5,3,26.045,5.505,47.38,10.17797678,170.1946414,68.5100824,25.20913869,0,47.60921726,26.09383976,347.7948963,Yes
BLM15-107-D07,1,0,1,0,5,7,29.645,8.475,78.85,10.17797678,170.1946414,68.5100824,25.20913869,0,47.60921726,26.09383976,347.7948963,Yes
BLM15-107-D34,1,0,1,0,5,34,12.54,5.885,81.33,10.17797678,170.1946414,68.5100824,25.20913869,0,47.60921726,26.09383976,347.7948963,Yes
BLM15-109-D03,1,0,1,0,1,3,26.63,5.465,56.77,0,0,0,242.3966404,0,0,163.924743,406.3213834,Yes
BLM15-109-D07,1,0,1,0,1,7,31.7,7.045,106.615,0,0,0,242.3966404,0,0,163.924743,406.3213834,Yes
BLM15-109-D34,1,0,1,0,1,34,15.785,5.505,77.275,0,0,0,242.3966404,0,0,163.924743,406.3213834,Yes
BLM15-110-D03,1,0,1,0,1,3,23.825,8.275,95.95,0,0,0,0,186.8459675,0,83.44089868,270.2868662,Yes
BLM15-110-D07,1,0,1,0,1,7,22.605,10.895,79.205,0,0,0,0,186.8459675,0,83.44089868,270.2868662,Yes
BLM15-110-D34,1,0,1,0,1,34,10.89,5.35,71.055,0,0,0,0,186.8459675,0,83.44089868,270.2868662,Yes
BLM15-111-D03,1,0,1,0,5,3,21.955,7.21,73.975,0,0,45.79986613,52.55867594,85.04241971,43.87541789,120.1875578,347.4639375,Yes
BLM15-111-D07,1,0,1,0,5,7,31.025,10.56,89.925,0,0,45.79986613,52.55867594,85.04241971,43.87541789,120.1875578,347.4639375,Yes
BLM15-111-D34,1,0,1,0,5,34,10.715,6.24,82.185,0,0,45.79986613,52.55867594,85.04241971,43.87541789,120.1875578,347.4639375,Yes
BLM15-112-D03,1,0,1,0,5,3,27.55,9.645,94.48,0,443.5702423,0,27.06275182,8.805130063,50.88447986,35.18770994,565.510314,Yes
BLM15-112-D07,1,0,1,0,5,7,33.685,8.945,87.095,0,443.5702423,0,27.06275182,8.805130063,50.88447986,35.18770994,565.510314,Yes
BLM15-112-D34,1,0,1,0,5,34,15.19,6.97,85.375,0,443.5702423,0,27.06275182,8.805130063,50.88447986,35.18770994,565.510314,Yes
BLM15-113-D03,1,0,1,0,1,3,25.79,9.575,79.51,0,0,466.9153507,0,0,0,65.37688443,532.2922351,Yes
BLM15-113-D07,1,0,1,0,1,7,25.66,7.975,76.785,0,0,466.9153507,0,0,0,65.37688443,532.2922351,Yes
BLM15-113-D34,1,0,1,0,1,34,11.06,6.42,82.54,0,0,466.9153507,0,0,0,65.37688443,532.2922351,Yes
BLM15-114-D03,1,0,1,0,5,3,28.61,7.985,92.77,0,469.5985323,10.59066105,0,31.23329154,3.000140548,2.338423762,516.7610492,Yes
